0	8
1	8
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	8
11	8
12	8
13	8
14	8
15	8
16	8
17	8
18	8
19	8
20	8
21	8
22	8
23	8
24	8
25	8
26	8
27	8
28	8
29	8
30	8
31	8
32	8
33	8
34	8
35	8
36	8
37	8
38	8
39	8
40	8
41	8
42	8
43	8
44	8
45	8
46	8
47	8
48	8
49	8
50	8
51	8
52	8
53	8
54	8
55	8
56	8
57	8
58	8
59	8
60	8
61	8
62	8
63	8
64	8
65	8
66	8
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	8
94	8
95	8
96	8
97	8
98	8
99	8
100	2
101	4
102	7
103	5
104	2
105	5
106	7
107	7
108	3
109	1
110	2
111	2
112	2
113	4
114	2
115	4
116	4
117	7
118	4
119	5
120	8
121	5
122	7
123	2
124	5
125	7
126	6
127	5
128	7
129	8
130	8
131	7
132	4
133	3
134	6
135	1
136	4
137	4
138	4
139	7
140	8
141	4
142	3
143	6
144	2
145	1
146	6
147	8
148	6
149	5
150	4
151	5
152	7
153	6
154	6
155	4
156	4
157	6
158	2
159	3
160	5
161	4
162	7
163	3
164	1
165	3
166	1
167	7
168	1
169	1
170	7
171	6
172	3
173	2
174	3
175	7
176	7
177	6
178	2
179	5
180	6
181	8
182	5
183	3
184	5
185	1
186	7
187	1
188	4
189	5
190	1
191	8
192	3
193	4
194	2
195	3
196	7
197	3
198	2
199	6
200	2
201	4
202	8
203	3
204	1
205	3
206	2
207	3
208	2
209	3
210	6
211	2
212	5
213	1
214	7
215	6
216	2
217	6
218	2
219	1
220	3
221	3
222	2
223	5
224	4
225	8
226	8
227	7
228	8
229	5
230	7
231	7
232	6
233	5
234	7
235	7
236	4
237	8
238	8
239	2
240	2
241	8
242	2
243	8
244	2
245	6
246	2
247	7
248	6
249	5
250	7
251	3
252	3
253	7
254	6
255	1
256	5
257	8
258	3
259	8
260	3
261	8
262	1
263	2
264	5
265	4
266	4
267	2
268	3
269	7
270	4
271	5
272	7
273	5
274	5
275	6
276	5
277	8
278	5
279	5
280	2
281	7
282	6
283	8
284	3
285	3
286	5
287	5
288	8
289	4
290	1
291	6
292	1
293	4
294	8
295	6
296	7
297	2
298	6
299	3
300	6
301	1
302	8
303	4
304	1
305	2
306	8
307	5
308	7
309	8
310	1
311	1
312	5
313	2
314	6
315	7
316	4
317	6
318	6
319	8
320	4
321	4
322	3
323	8
324	1
325	1
326	3
327	3
328	5
329	5
330	7
331	2
332	6
333	7
334	2
335	6
336	1
337	7
338	3
339	5
340	7
341	4
342	7
